,title,category,text
66,西武・松坂 来季も現役続行へ,スポーツ, 西武が松坂大輔投手40と来季も契約する方針を固めたことが1日分かった複数の関係者によると球団はすでに来季に向けて話し合いを始め来季の契約を打診本格的な交渉はシーズン終了後となるが松坂はかねて僕は野球が好き投げられる場所がある限り投げ続けたいと話しており41歳となる来季も西武のユニホームに袖を通すことになりそうだ 今季は1年契約で14年ぶりに古巣復帰2年ぶりの白星を目指し2月の宮崎南郷キャンプから順調な調整を続けてきた新型コロナウイルスの感染拡大で開幕が延期とならず3月20日に開幕していた場合は3戦目の22日の日本ハム戦先発の予定もあったしかし開幕が大幅に延期となり松坂も同月下旬にコンディショニング目的で右膝に注射を打ち6月19日の開幕は2軍で迎えた 7月5日には頸部けいぶの痛みと右手のしびれの原因となっている圧迫を軽減するため脊椎内視鏡頸椎手術も受けたその後は懸命にリハビリ生活を続けているこのまま今季も1軍登板なく終了する見込みだが球団は実績に裏打ちされた若手へのアドバイスなども含めて高く評価している 阪神藤川楽天渡辺直らが今季限りで現役引退を表明するなど松坂世代の現役選手はさらに減っているそれでも黄金世代をけん引してきた当の本人がマウンドに戻る気力を失っていない日米通算170勝の平成の怪物が目指す復活劇を球団も全力でサポートする構えだ
67,ATSUSHI EXILE卒業しソロ専念,エンタメ, EXILE ATSUSHI40が11月2日をもってグループとしてのEXILEの活動を卒業しソロ活動に専念することが明らかとなったYour eyes only曖昧な僕の輪郭2001年9月27日でデビュー以来EXILE ATSUSHIとして約200曲を歌い11枚のオリジナルアルバム制作15回のライブツアー開催など不動のヴォーカリストとして牽引来年のデビュー20周年を前に40歳の節目に大きな決断を下した 2020年は新型コロナウイルスの影響もあり多くのアーティストにとって変化を迫られる年となったATSUSHIも本格的な海外活動としてブルーノマーズらの音楽プロデュースチーム1500 or Nothin’とアルバム制作の契約を交わし着々と準備を進めていたがストップを余儀なくされた 従来通りのパフォーマンスができず自身が40代に突入したことも重なり自分の人生の時間は有限であることを痛感させられアーティストとしてもそうですが一人の人間として40歳以降の今後の自分の人生についてどう生きていくべきかを考えるようになりましたと決断一人の歌手として原点に戻り再び音楽と向き合う決意が固まりこのたびEXILEという僕のすべてを育ててくれたグループでの活動に一区切りをつけ卒業しソロ活動に専念する決意をいたしましたと報告した 僕にとってのEXILEは21歳でデビューした時からずっと人生のすべてと語るATSUSHI毎年年末になればEXILEと共に年を越しEXILEと共に春を迎えEXILEと共に夏を過ごしEXILEと共に秋を過ぎそしてまたEXILEと共に冬を越してきましたとグループへの愛着を明かし約20年の活動を無謀とも言えるようなスケジュールを全速力で突っ走ってきたように思いますと振り返る 新たなステージへの挑戦を決意し40歳というのは歌手として挑戦できる最後のタイミングと位置づける80歳まで健康でいられたとしても60歳まで毎年ツアーができたとしてもあと20回できるかどうかもし本当にそうであるのならばこれからの歌手生活歌手人生において悔いのない20回のツアーをやり遂げたいと思っていますとさらなる活躍を誓った これまでダンスボーカルグループとしてのEXILEからは2013年にEXILE HIRO2015年に松本利夫EXILE MAKIDAIEXILE USAが卒業したが現在もEXILEとして活動を続けているATSUSHIもソロアーティストとして一人のEXILEとしてEXILEを背負い新たなEXILEの在り方を表現していくため国内はもちろん海外での活動にもより力を入れていく これまでも形を変え進化を続けてきたEXILEはEXILE AKIRAEXILE TAKAHIRO橘ケンチ黒木啓司EXILE TETSUYAEXILE NESMITHEXILE SHOKICHIEXILE NAOTO小林直己岩田剛典白濱亜嵐関口メンディー世界佐藤大樹の14人新体制で再始動を果たす卒業したメンバーたちの想いを受け継いでいくという決意とともに新たなEXILEを表現しようと心を一つに強く結束を固めている EXILE ATSUSHIが参加するラストシングルSUNSHINEはあす3日0時より配信開始され12月16日にCDとしてリリース今月4日には4枚目となるオリジナルアルバム40 fortyが発売される
68,板で窓覆う 米大統領選を警戒,国際, 3日投開票の米大統領選で選挙結果をめぐって共和党候補のトランプ大統領74と民主党候補のバイデン前副大統領77の支持者が衝突するなど不測の事態が起きるのに備え警察当局などが全米で警戒を強めているトランプ氏が敗北しても不正選挙だと主張し共鳴した右翼グループが混乱を引き起こすことも懸念され異例の厳戒態勢になっている トランプ氏は投票所に行って注意深く監視しようと支持者に呼びかけている米紙ワシントンポストによると西部オレゴン州ポートランドでは右翼の武装グループが投開票日に武器を持って投票所に集まることを計画している対立する極左グループも投票所に行く準備をしているといい有権者への威嚇や両者の衝突が起きかねない 分断が深まる中どちらが勝っても反対派のデモで小競り合いや衝突が起きるとみられるポートランド市当局は衝突が起きた場合に外出禁止令を出すことを検討東部ニューヨーク市では投票所に警察官を配置する首都ワシントンも厳戒態勢で10月30日にはホワイトハウス周辺の店などで窓やドアをベニヤ板で覆う光景が見られた 混乱が最も危惧されるのはトランプ氏が一方的に勝利を宣言したり敗北しても認めなかったりする場合だ今回は開票に時間がかかる郵便投票が増えており勝者の確定が遅れる可能性が指摘されているトランプ氏が確定前の早い段階で一方的に勝利宣言をすれば反発する大規模なデモが起きるのは必至だまた敗北が決定的になっても郵便投票に不正があったなどと主張し支持者に行動を呼びかける可能性もある 中でもミリシアと呼ばれる民間武装組織の動向に懸念が強まっている中西部ミシガン州では10月トランプ氏と対立するウィットマー知事民主党を拉致する計画を立てていたとして地元ミリシアのメンバーら13人が訴追された司法当局の資料によるとミリシアのメンバーらは暴力によって社会崩壊を引き起こす内戦を扇動しようとしていたという ミシガン州でミリシアの実地調査をしてきた米バンダービルト大のエミークーター博士社会学は訴追されたミリシアは新しい組織で計画を完全に実行する能力があったかは疑問だと指摘しつつ大統領選でミリシアのメンバーの中に個人レベルで邪悪な行動を起こす者がいても驚きではないと話す 米社会では選挙後の混乱への不安が広がっており英調査会社YouGovによると回答者の56が選挙の結果暴力が増加すると予想する銃を購入する人の数も増えており米連邦捜査局FBIによると購入時に必要な身元調査は19月に約2883万件ですでに昨年を上回ったニューヨーク隅俊之
69,知事 僕は都構想再挑戦ない,国内, 1日投開票された住民投票で大阪都構想案の反対多数が確実となった 同日午後10時半すぎ大阪維新の会の議員らが控えていた大阪市北区のホテルでは記者会見の会場に置かれたテレビ画面に反対多数が確実のニューステロップが流れると集まった数十人の報道陣から一斉にどよめきが起きた その後に始まった記者会見で維新代表の松井一郎大阪市長は冒頭私の力不足と述べみなさん賛成反対頭を悩ませていただいたこれほどの問題を提起できたことは政治家冥利みょうりにつきると時折笑みを浮かべながら淡々と語った■吉村府知事大阪市民の判断を尊重したい 代表代行の吉村洋文知事は感謝申し上げたい大阪市民の判断を尊重したい都構想は僕が挑戦することはありませんと述べた 住民投票は選挙と異なり投票当日の投票運動もできる両氏は1日も告示日に街頭演説をした南海難波駅前に並び松井氏は大阪府と大阪市が二度と対立しない仕組みをつくって東の東京都西の大阪都二極で日本をひっぱっていこうよそういう国を一緒に作りましょう吉村氏は絶対に都構想にした方が大阪の力を発揮できると訴え賛成票を投じるよう呼びかけたが及ばなかった 松井吉村両氏は告示後まちかど説明会を連日実施二重行政をやめて大阪を成長させましょうなどと訴え市民からの質問も受け付けた 維新は2015年の前回住民投票では無党派層を固めきれなかった反省から幅広い層に支持を訴えた松井吉村両氏は告示後まちかど説明会を連日実施し二重行政をやめて大阪を成長させましょうなどと訴え市民からの質問も受け付け維新の議員らは毎晩ユーチューブなどで説明会を重ね7種類のチラシを作ったりテレビCMを流したりしていた 維新と合同の街頭演説をしてきた公明も1日記者会見府本部代表で佐藤茂樹衆院議員が主張が結果に出なかったことは重く受け止めなければならないと語った 公明は1日も佐藤衆院議員らが賛成票を投じるよう訴えた積極的な動きを見せなかった支持母体創価学会も会員に対し週末の各地の街頭演説に来るよう呼びかけテコいれをはかっていた朝日新聞社
70,接戦の都構想 悩んだ有権者,国内, 大阪都構想の賛否を問う住民投票は1日2度目の審判の日を迎えた大阪を前に進める後悔しても戻れない新型コロナウイルス禍が続く中賛否は真っ二つに割れ有権者は悩みながら票を投じた大阪市民や各党関係者らの動きを追った 700 開門前から20人以上の長い列ができていた中央区の投票所一番乗りした男性会社員27は住民サービスが良くなるようだし都構想には期待が持てる無職男性85は前回も反対だったし今の状況を変えたくない慣れ親しんできた大阪市のままでいいと語気を強めた 910 自民党市議団の北野妙子幹事長は地元淀川区で住民サービス維持のため反対をと訴えた反対票を投じたという無職男性80は二重行政は話し合いで解決できると思う大金をかけてやる必要はないと話した 1130 人口増が続く西区の公園5歳の長男と訪れた近くの主婦39は賛成に投じた今の大阪は間違いなく成長している大阪維新の会を信じている大阪市と隣接する大阪府豊中市の主婦40は仮に賛成多数となれば豊中市にどのような影響が出るのか気になると述べた 1205 南海難波駅前大阪市中央区では大阪維新の会代表の松井一郎大阪市長と代表代行の吉村洋文大阪府知事がマイクを握った都構想で大阪の未来をつくる二重行政を解消し市民の声が届く仕組みをと叫ぶと聴衆から拍手が起きた西淀川区の男性会社員58はこの10年で大阪はずいぶんと活気づいた大阪の未来をより前に進めるため賛成に票を投じると力を込めた 1300 共産党市議団の山中智子団長は城東区内で演説特別区になれば半人前の自治体に成り下がるどんなに後悔しても元に戻す法律はないなどと通行人に呼びかけたビラを受け取り真剣な表情で読み込む有権者もいた 1500 古くからの住宅街が広がる一方近年は住民の高齢化などが課題の港区年金で暮らす元会社員の男性73は特別区に移行した場合港区が新たに淀川区となることに違和感がある淀川以北の3区とはもともと生活圏が違うと述べ反対したと明かした 1630 日本最大級の日雇い労働者の街として知られるあいりん地区を抱える西成区反対票を投じた男性公務員48は議論にまったくつかみどころがなく争点が見えてこないと話した 1800 住之江区の投票所では男性会社員44が賛成票を投じた維新の首長らのかじ取りを振り返り大阪が以前よりはよくなっていると感じるし実績も積んでいる 2000 投票が締め切られる報道機関の出口調査では賛否が拮抗きっこうする 2100 開票作業が開始関係者が固唾をのんで行方を見守る 2255 反対多数が確実に
71,天心42連勝 惜別の跳び膝蹴り,スポーツ,RISE1日エディオンアリーナ大阪キックボクシング界の神童那須川天心22がデビューから無傷の42連勝を飾った引退マッチとなる元RISE3階級制覇王者の裕樹37との58キロ級契約3分3回延長1回で対戦2回2分56秒左飛び膝蹴りでKO勝ちを飾ったMrRISEと呼ばれる裕樹と拳と拳で語り合ったファイトをみせた那須川はこの何だろう非常に感慨深いというか昔から裕樹選手にはお世話になっていたその情を消して戦った最高の試合ができて良かったボクはまだまだ強くなるのでたくさんの応援をよろしくお願いしますなどとあいさつした一方5日後に38歳となる裕樹は引退試合を終え言葉にならない素晴らしい舞台を用意してくれたRISEさん那須川天心選手ありがとうございました子供たちにかっこいい姿を見せたかったですが格好良かった ボクは16歳の頃からキックを始め本当に強くなりたい一心やってきた世界一の男と拳を交えてうれしく思うと感慨深げだった
72,大阪市長 任期満了で政界引退,地域,速報大阪都構想反対多数の結果を受けて大阪市の松井市長は2023年3月の任期満了をもって政界引退を表明
73,否決 大阪市長「私の力不足」,国内, 政令指定都市の大阪市を廃止して4つの特別区に再編するいわゆる大阪都構想の賛否を問う住民投票が1日行われ反対多数が確実の情勢となった今回の住民投票の結果には法的拘束力がある反対多数だったため政令指定都市としての大阪市がそのまま存続する午後11時過ぎに記者会見に臨んだ大阪市長で大阪維新の会の松井一郎代表は結果はわれわれ2度目の敗北であります今回は公明党に多大なるご支援をいただきましたがすべて私の力不足まさに大阪市民のみなさんの民意ですそれをしっかり受け止め大阪市の発展に全力を尽くしたいと思っておりますと述べた松井代表2度挑んで負けてますんで政治家としての力不足 松井代表は進退について敗因は僕の力不足ですこれだけ大きな闘いを2度挑んで負けてますんで政治家としての力不足10年間大阪維新の会の先頭で旗を振ってきました市長任期をもって政治家としての活動は終了します次の世代に変わることで改革の魂をしっかりと引き継いでもらいたい僕自身の政治家としては任期満了までしっかり務め上げ次の世代にがんばってもらいたいと述べた吉村代表代行都構想は僕が挑戦することはありません また大阪維新の会代表代行の吉村洋文知事は僕自身も力不足市民の方々にご理解いただけなかった反対派の方が大阪市を残したい市民の思いの方が強かったのだと思う大阪都構想は間違っていたのだろう大阪市民の判断を尊重したい都構想は僕が挑戦することはありませんと述べた 報道陣からは大阪都構想は間違っていたかという質問があったそれに対し松井市長は結果を謙虚に受け止めるということです賛成の方々に申し訳ないので結果は真摯に受け止めますと述べていた松井代表政治家としての都構想は手段ですよ 別の報道陣からは政治家松井一郎にとって都構想とはという質問もあった 松井代表は政治家としての都構想は手段ですよ目的ではありません手段として二重行政を解消するのがいいと思っています目的は何度も言うように僕たちもみなさんも子どもや孫の時代に大阪を成長させたいだけです東京一極で負担大きくなるのが嫌なだけです負担を減らしてそういう大阪を作りたかったということです都構想は手段ですと話していた
74,元withB アメフト会心プレー,スポーツ, 社会人アメリカンフットボールのX1エリア西日本トーナメントの1回戦2試合が1日神戸市王子スタジアムで行われみらいふ福岡が3420でアズワンを破って決勝進出を果たした14日に大阪府吹田市のエキスポフラッシュフィールドでアサヒ飲料と対戦する 今季みらいふ福岡に加入して10年ぶりの現役復帰を果たした元お笑いコンビブリリアンのコージトクダ32は右DEで出場第4QにQBサックを決めた          気持ちよかったですねQBサックを最低1回はやりたかった夢にまで見ていたのでコージは声を弾ませた守備陣にとって相手司令塔を封じるQBサックは攻撃陣でいえばTDばりの会心プレーだ第4Q6分8秒敵陣10ヤード付近で相手QBにハードタックルを食らわせるとうおーっと雄たけび法大の主将として甲子園ボウル出場経験を持つコージのプレーがチームに勢いを呼び込んだ チーム加入を決意した3月以降タレント活動の傍ら徹底したウエートトレで20キロ増量筋肉ムキムキの97キロで相手にぶつかり続けたコージを吉野至代表は目の前の相手1対1のプレーでは完全に勝ってくれたと絶賛した 試合後には吉野代表から観客へのあいさつに指名され大学の時は最後に負けて終わっているんでうれしい気持ちと悲しい気持ちが交錯してグッときたと思わず声を詰まらせタレントもアメフトもどっちも本気でやれば夢はかないますときっぱり次戦の“復帰後初V”へ向け気合を込めた喜瀬雅則西日本スポーツ
75,反対多数 大阪市は存続へ,国内, 大阪市を廃止して四つの特別区に再編する大阪都構想の是非を問う住民投票が1日行われ約1万7千票の僅差きんさで反対多数となった前回2015年に続く否決だ大阪維新の会代表の松井一郎市長は23年4月の任期満了で政界を引退すると表明した当日有権者数は220万5730人投票率は前回を448ポイント下回る6235だった 松井氏は1日夜に記者会見しけじめをつけなければならないと政界を引退する考えを示した吉村洋文代表代行府知事は僕が都構想に挑戦することはないと述べた維新は党のリーダーと看板政策の都構想を同時に失った 松井氏は菅義偉首相との関係が良好で代表を務める国政政党日本維新の会は政権に協力的な姿勢もとってきた今回の結果が国政にも影響を及ぼす可能性がある 住民投票では人口約270万人の大阪市を約60万75万人の四つの特別区に再編する制度案への賛否が問われた大阪市が持つ都市開発やインフラ整備などの権限を大阪府に一元化し特別区は教育や子育て支援など身近な住民サービスにあたる構想今回の否決で都構想は廃案となり大阪市は存続する 反対派の自民党と共産党などは特別区の財政収支見通しに新型コロナウイルスの経済への影響が反映されていないことなどを問題視特別区が収支不足に陥り住民サービスが低下する恐れがあるとして政令指定市としての大阪市の存続を訴えた賛成派の維新と公明党は府と市の権限が重なり合う二重行政の解消が経済成長につながり特別区への再編で住民サービスも充実できると訴えてきた 都構想の是非を問う住民投票は2度目前回は反対70万5585票賛成69万4844票の約1万票の僅差で否決され当時の維新代表で大阪市長だった橋下徹氏が政界を引退した前回と異なり公明党が賛成に転じて山口那津男代表が大阪入りして維新と街頭演説に立つなどテコ入れを図ったが改めての否決となった朝日新聞社
76,ハナコ岡部 絶妙なかわいさ,エンタメ, コント師ハナコ秋山寛貴岡部大菊田竜大の3人から成る彼らは2018年のキングオブコントTBS系で優勝しその名を世間に知らしめた当時まだ第7世代のムーブメントはなかったが結成からわずか4年と若い彼らの優勝は芸人の高年齢化が指摘される中で新しい風を感じさせる出来事だった 現在霜降り明星やEXITなどと同じく第7世代に括られることも多い彼らは有吉の壁日本テレビ系やネタパレフジテレビ系など多くの番組に出演している 賞レースの覇者としてネタ番組への出演も多くお助けコントットや東京BABY BOYS 9ともにテレビ朝日系といった不定期放送のコント番組ではレギュラーも務める人気若手芸人のひと組といって間違いないだろう そんな3人の中でも特に著しい活躍を見せているのがリーダーの岡部だ坊主頭と太めの体型が特徴でコントの中ではボケ役を担うことが多い彼だが有吉ゼミ日本テレビ系での大食いやマツコ有吉 かりそめ天国テレビ朝日系での食レポTHE突破ファイル日本テレビ系の再現VTRなど1人で出演しているバラエティ番組は数多い さらに最近目立ち始めたのがドラマへの出演だ私の家政夫ナギサさんTBS系に出演した彼は朝ドラエールNHK総合でも重要な役どころを務めているバラエティからドラマまで引っ張りだこのハナコ岡部何が彼の魅力を支えているのだろうか癒やしからシリアスへ確かな演技力 放送中の朝ドラエールで岡部が演じているのは窪田正孝演じる作曲家の主人公のもとに弟子入り志願に来た青年田ノ上五郎だ音楽の才能はないものの優しく実直なキャラクター そんな朴訥な役柄は岡部が発する絶妙な“かわいさ”とも交絡し戦争が激しくなりシリアスな度合いを増すドラマの中で一種の癒やしになっていたあさイチNHK総合の“朝ドラ受け”では岡部が出てくるとホッとするといった声が聞かれたほどだ しかしその後ドラマがさらに暗い時代へと入っていくと岡部の役どころも一転その実直さゆえに軍歌を作曲する主人公に正面から異を唱えたり特高警察に連行されるも戦争反対の主張を貫き拷問を受けたりするシーンが増えていく癒やしからシリアスへその反転は岡部の確かな演技力を感じさせた
77,大阪投票率62.35% 前回下回る,国内, 2度目になった住民投票の投票率は6235だった僅差で否決された5年前の住民投票に比べて約4ポイント下回ったものの投票権を持つ大阪市民の高い関心を集めた 10月1331日に実施された期日前投票をした人は41万8925人に上った前回より約6万人多く過去に市内であった期日前投票の中で最多だった市選管が新型コロナウイルスの感染予防対策の一環で期日前投票の積極活用を呼びかけたことが影響したとみられる全投票者数137万5313人の約3割を占め投票率を押し上げる形になった今回は1819歳の投票も可能になった 大阪市内全域の有権者を対象にした地方選と比較すると過去最高だった1951年の市議選7198には届かなかったが大阪府知事選とダブルで実施された2011年11月の市長選6092など都構想が争点だった選挙とも同様に高い水準になった 最近の住民投票関連では18年11月に兵庫県篠山市当時が丹波篠山市への市名変更の賛否を問う住民投票の投票率が6979だったこうした条例に基づく諮問型の住民投票とは異なり今回は大都市地域特別区設置法に基づき結果が法的な拘束力を持つことも有権者の関心を高めた要因になったとみられる野口由紀
78,8冠 騎手ルメールも目真っ赤,スポーツ,第162回天皇賞秋G11日東京芝2000メートル 伝統の天皇賞秋は1日秋晴れの東京競馬場で行われ単勝14倍と断然の1番人気に支持されたアーモンドアイ牝5美浦国枝栄が直線で伸びて史上初の芝G18勝目を飾った鞍上のクリストフルメール騎手41は天皇賞連勝記録を5に伸ばした 人馬ともに日本競馬史に名を刻んだ勝利ジョッキーインタビュー名手も感極まってあまりしゃべれないです真っ赤な目をしばたかせて信じられないパフォーマンスですね日本一になりましたと愛馬に最高の賛辞を送った レース後は何度も何度もアーモンドアイのたてがみをなで首筋をポンポン最強女王への入念ないたわりは自身のプレッシャーの裏返しだった “皇帝”シンボリルドルフが打ち立てあのディープインパクトも超えられなかった芝G1を7勝の壁強い馬ですけど毎回プレッシャーが重たいですと率直につぶやいた 最後の直線は自身の天皇賞連覇のうち2勝を占めるフィエールマンの猛追をしのいだちょっと怖かったと振り返ってからアーモンドアイはめちゃくちゃ強いですからと胸を張った 今後は調教師オーナーの意向次第と前置きしながらも彼女はアーモンドアイはまだ走りたいからシンプルな言葉で現役続行を熱望最強コンビでの有終の美を思い描いた※誤字を修正しました中日スポーツ
79,大阪都構想 賛否は拮抗,国内, 大阪市民を対象に大阪都構想の是非を問う住民投票が行われた1日産経新聞社は市内64カ所の投票所で有権者の動向を探る出口調査を実施した 調査の結果賛否が拮抗している投票は午後8時に締め切られ同9時から開票作業が行われる深夜には結果が出る見通し 調査は共同通信社毎日新聞社日経新聞社毎日放送関西テレビと協力して行われ投票を終えた有権者2816人から回答を得た
80,都構想 18時投票率37.60%,国内, 大阪市民を対象に大阪都構想の是非を問う住民投票は1日市内365カ所の投票所で行われている市選挙管理委員会によると当日有権者数は220万5730人で午後6時時点の投票者数は82万9445人投票率は3760となっている 平成27年5月の前回住民投票での同時刻と比べ452ポイント下回った
81,ネコの絵も 謎は深まるナスカ,国際,考古学の大きな謎に新技術で挑む ペルーナスカ川流域の赤茶色の大地に描かれた巨大な幾何学模様や動物たち上空から見下ろさないとわからないこのナスカの地上絵は考古学における大きな謎の一つだ 地上絵が描かれた目的は長年にわたって議論を呼んできたいわく異星人の着陸場所巨大なカレンダー聖なる儀式を行う場所に向かう道はたまた地下水源の目印などそれこそ枚挙にいとまがないほどだ ハチドリクモサル樹木台形螺旋これらの幻想的な地上絵は酸化して赤くなった岩や表層の土を取り除き下にある明るい色の土をむき出しにした白い線で描かれている むき出しにされた石灰岩が豊富に含まれた層も時間とともに固くなるこの一帯が極度に乾燥していてしかも風もほとんど吹かないことも手伝いナスカの地上絵は長い間とても良好な状態で保存されてきた地上絵を巡る様々な学説 地上絵は世界各地でも見られるがナスカの地上絵の種類と数は群を抜くナスカ周辺の砂漠には巨大な地上絵が1000点以上残されており1994年には考古学的文化的な重要性が認められ隣のパルパ地方の地上絵とあわせてユネスコ世界遺産に登録された 地上絵は800平方キロメートルの範囲に描かれており数十種の動植物と数百種の線や図形が確認されている絵のほとんどはあまりに巨大で上空から見下ろさないと何が描かれているのか全容がわからないそのため人の目ではなく神の目から見ることを意図したものだという説もある ナスカの地上絵は紀元前500年から紀元500年ごろにかけて何段階かに分けて作られたと考えられている描いたのはヨーロッパ人がやってくる前にペルー南部の海岸近くに住んでいた人々だナスカ人と呼ばれる彼らはインカ文明が登場する数世紀前の紀元700年ごろまでこの地方に住んでいた 地上絵が知られるところとなったのは飛行機が発明され1930年代になって人がペルー上空を飛ぶようになってからだそれ以来地上絵に隠された謎は多くの研究者を魅了してきた
82,台風横断 フィリピン各地洪水,国際,FNNプライムオンライン非常に強い台風19号がフィリピンに上陸し各地で被害が出ている台風19号は1日朝首都マニラがあるルソン島の南部に上陸し勢力を少しずつ弱めながらフィリピンを横断している各地で洪水などの被害が出ていて現地メディアによるとこれまでに4人の死亡が確認された台風19号はこのあと勢力を弱めながら南シナ海を西に進みベトナム中部に上陸するとみられる
83,西武平尾コーチ解雇 私物窃取,スポーツ, 西武は1日平尾博司2軍打撃コーチ44との契約を解除したと発表した契約違反を確認したことから10月31日付で契約を解除したという 球団によると同コーチは選手2人の私物を窃取その選手のうち1人から10月16日私物がなくなったと球団に申し出があり同日球団が調査したところ同コーチが窃取したことが判明本人も事実関係を認めた球団は自宅待機を命じ同コーチは以後グラウンドに姿を見せていなかった西日本スポーツ
84,安倍氏 父墓前に首相辞任報告,国内, 安倍晋三前首相は1日持病の潰瘍性大腸炎の再発により首相を9月に辞任後初めて地元の山口県に入った長門市で父の故晋太郎元外相の墓前に手を合わせ歴代最長の7年8カ月間首相として全力を尽くしたと報告記者団に今後は一議員として地域の発展のためにも尽くしたいと報告したと述べた 同時に在任中を振り返りさまざまな政策を実行できたと強調自らの出身である自民党細田派内で派閥復帰への待望論があると問われ首相を辞したばかりだ全党的な支援もいただいてきたのでしばらくは一議員としての活動に専念したいと語った
85,大下容子アナ 30歳定年説語る,エンタメ,情報番組やバラエティーや番組などで幅広く出演するテレビ朝日の大下容子アナウンサーは6月役員待遇エグゼクティブアナウンサーに昇格しましたソフトな語り口と親しみやすいキャラクターで人気の大下さんに女性アナウンサーをめぐる環境の変化や2030代の女性へのアドバイスなどを聞きました年齢は過ぎれば何も変わっていない――現在でもタレントのように見られたり扱われたりするアナウンサーの方もいます女性アナウンサーをめぐっては30歳定年説が言われた時期もありました大下容子さん以下大下 私は雑誌で最も地味なアナウンサーと書かれたことがあるほど華がない笑自分とは対極のキラキラしている方々についてはすごいなぁ私とはまるで違うなぁと憧れますただ華やかさというのは身につけようと思って身に付けられるものではないですし今はそれぞれの持ち味だと思っています 年齢については私も30歳の誕生日前くらいはアナウンサーとしてもうダメなのかなと一瞬ブルーになったことがありましたでも28歳から始めたワイドスクランブルも30歳を過ぎてからもずっと続いてきました年齢って1の位が9になるとそれなりに思うことがあります笑29歳も39歳も49歳の時もでも過ぎれば何も変わっていない私の世代で働く女性もまだまだいますし今は本当にライフスタイルが多様化しましたこの年齢で女性アナウンサーが番組に出ることは入社当時は考えられませんでしたとてもありがたく感じています私自身も多様性を受け入れられる人間でありたいと思いますね様々なタイプのアナウンサー後輩から刺激も――テレビ朝日は2003年社屋を六本木ヒルズに移転し前後して視聴率も好調です以前は就活でフジテレビの人気が高かったですがテレビ朝日に就職したいという大学生も増えています大下 嬉しいですね六本木ヒルズに移ってから入社した後輩に聞くとヒルズで勤務できることが入社のポイントだったと話す人は少なくありません私はそんなことを考えたことがなかった笑ただ私が入社した頃に比べるとテレビ朝日のアナウンサーも多様になってきた印象を受けます今は様々なタイプのアナウンサーがいてとても誇らしいですね私たちにない感性や切り口で番組を進めるアナウンサーなど後輩から学ぶことも多く日々刺激を受けるありがたい環境にいます ――日本ではこれまで1つの会社に定年まで勤める終身雇用が当り前でしたが今は転職する人も増え選択肢も広がっています選べるからこそ悩みも多くなっている面もあります大下 選択肢があるのは良い反面迷いも生じますよね目の前のことを一つ一つやっていくことが大切だと思う一方逃げることが大切な場面もありますここは違うと思ったら飛び出すことはあっていい
86,米大統領選 かたずのむイラン,国際, テヘラン共同米国と敵対するイランで多くの市民が3日の米大統領選の行方を固唾をのんで見守っているトランプ政権の最大限の圧力政策がさらに4年間続くのか米制裁と新型コロナウイルス感染拡大でイラン社会の混迷が深まる中超大国の外交政策を左右する選挙戦への関心は高い イランの新型コロナ感染者は中東で最多の60万人超死者は3万5千人に達した北西部の西アゼルバイジャン州の公立病院に勤める女性医師メヘヌスババイさん38は選挙動向を伝えるニュースを毎日チェック新型コロナ重症者も担当し適切な治療を受けられず人が次々に死んでいくと憤った
87,VTuber人気けん引 upd8終了へ,エンタメ,Activ8株式会社が展開するバーチャルYouTuberのプロディース支援を行うプロジェクトupd8が2020年12月31日をもって終了することが発表されたかつて株式会社Activ8はバーチャルYouTuberの第一人者であるキズナアイさんを開発運用現在キズナアイさんはKizuna AI株式会社に所属しておりその移籍と同時にupd8を脱退現在もおめがシスターズをはじめ多くのVTuberがupd8に在籍しているがその動向が注目されていたVTuberブームを牽引したプロジェクトupd8upd8は2018年5月31日にスタート個人や企業所属に関わらず所属するVTuberを募集しVTuberという概念のパイオニアであるキズナアイさんも所属することからVTuber産業の中核的な存在として知られていたupd8は通常のタレント事務所とは異なりあくまで支援を目的としたプロジェクトという位置付けとなっているしかしながら現在絶大な人気を見せているにじさんじホロライブのような画一的なブランディングをもたずupd8内のコラボレーションや企画なども前述する2組に比較すると非常に少なかった2020年4月には中心的な役割を担っていたキズナアイさんが脱退あわせてあにまーれハニーストラップ織田信姫さんといった有力なユニットやタレントも脱退今後の展開がファンから心配される中での発表となったupd8には事務所に所属せずに活動を行う個人勢も多く在籍しており彼らの今後の活動への影響が懸念されるが発表内では今後も継続していくと明言されている米村智水
